type,maturity,coupon,bid,ask,price,ytm,ttm_years,id
note,2026-08-31,0.0075,99.96875,100.0,100.0,0.0072,0.010951403148528405,N20260831_8
note,2026-08-31,0.0138,99.96875,100.0,100.0,0.0134,0.010951403148528405,N20260831_14
note,2026-08-31,0.0375,99.96875,100.0,100.0,0.037200000000000004,0.010951403148528405,N20260831_38
bill,2026-09-01,0.0,99.95977777777779,99.9598888888889,99.9598888888889,0.0366,0.013689253935660506,B20260901_0
bill,2026-09-03,0.0,99.93966666666667,99.93983333333334,99.93983333333334,0.0366,0.019164955509924708,B20260903_0
bill,2026-09-08,0.0,99.88877777777778,99.88908333333333,99.88908333333333,0.0368,0.03285420944558522,B20260908_0
bill,2026-09-10,0.0,99.86855555555556,99.86891666666666,99.86891666666666,0.0368,0.038329911019849415,B20260910_0
bill,2026-09-15,0.0,99.818,99.8185,99.8185,0.0368,0.05201916495550993,B20260915_0
note,2026-09-15,0.0463,100.03125,100.0625,100.0625,0.0305,0.05201916495550993,N20260915_46
bill,2026-09-17,0.0,99.79777777777777,99.79833333333333,99.79833333333333,0.0368,0.057494866529774126,B20260917_0
bill,2026-09-22,0.0,99.74652777777779,99.74722222222222,99.74722222222222,0.037000000000000005,0.07118412046543464,B20260922_0
bill,2026-09-24,0.0,99.7255,99.72625000000001,99.72625000000001,0.0371,0.07665982203969883,B20260924_0
bill,2026-09-29,0.0,99.67200000000001,99.67288888888889,99.67288888888889,0.0374,0.09034907597535935,B20260929_0
note,2026-09-30,0.0088,99.75,99.78125,99.78125,0.0366,0.09308692676249145,N20260930_9
note,2026-09-30,0.0163,99.8125,99.84375,99.84375,0.0354,0.09308692676249145,N20260930_16
note,2026-09-30,0.035,99.9375,99.96875,99.96875,0.036699999999999997,0.09308692676249145,N20260930_35
bill,2026-10-01,0.0,99.6515,99.65244444444444,99.65244444444444,0.0374,0.09582477754962354,B20261001_0
bill,2026-10-06,0.0,99.60133333333333,99.60241666666667,99.60241666666667,0.0374,0.10951403148528405,B20261006_0
bill,2026-10-08,0.0,99.57861111111112,99.57975,99.57975,0.037599999999999995,0.11498973305954825,B20261008_0
bill,2026-10-13,0.0,99.5285,99.52977777777777,99.52977777777777,0.0374,0.12867898699520877,B20261013_0
bill,2026-10-15,0.0,99.50666666666666,99.508,99.508,0.0375,0.13415468856947296,B20261015_0
note,2026-10-15,0.0463,100.0625,100.09375,100.09375,0.0369,0.13415468856947296,N20261015_46
bill,2026-10-20,0.0,99.45527777777777,99.45675,99.45675,0.037599999999999995,0.14784394250513347,B20261020_0
bill,2026-10-22,0.0,99.43319444444444,99.43472222222223,99.43472222222223,0.0377,0.15331964407939766,B20261022_0
bill,2026-10-27,0.0,99.38,99.38166666666667,99.38166666666667,0.0378,0.16700889801505817,B20261027_0
bill,2026-10-29,0.0,99.35933333333334,99.36105555555555,99.36105555555555,0.0378,0.17248459958932238,B20261029_0
note,2026-10-31,0.0113,99.53125,99.5625,99.5625,0.0369,0.17796030116358658,N20261031_11
note,2026-10-31,0.0163,99.59375,99.625,99.625,0.0381,0.17796030116358658,N20261031_16
note,2026-10-31,0.041299999999999996,100.03125,100.0625,100.0625,0.0377,0.17796030116358658,N20261031_41
bill,2026-11-03,0.0,99.30952777777777,99.31138888888889,99.31138888888889,0.0378,0.1861738535249829,B20261103_0
bill,2026-11-05,0.0,99.28508333333333,99.287,99.287,0.038,0.19164955509924708,B20261105_0
bill,2026-11-10,0.0,99.23533333333333,99.23738888888889,99.23738888888889,0.0378,0.2053388090349076,B20261110_0
bill,2026-11-12,0.0,99.21255555555555,99.21466666666666,99.21466666666666,0.038,0.2108145106091718,B20261112_0
note,2026-11-15,0.02,99.59375,99.625,99.625,0.0383,0.2190280629705681,N20261115_20
note,2026-11-15,0.0463,100.125,100.15625,100.15625,0.0379,0.2190280629705681,N20261115_46
note,2026-11-15,0.065,100.4375,100.46875,100.46875,0.0416,0.2190280629705681,N20261115_65
bill,2026-11-17,0.0,99.16075,99.163,99.163,0.038,0.2245037645448323,B20261117_0
bill,2026-11-19,0.0,99.13772222222222,99.14002777777777,99.14002777777777,0.0381,0.2299794661190965,B20261119_0
