Maturity,Bid,Asked,Chg,Asked yield
09/01/2026,3.62,3.61,-0.02,3.66
09/03/2026,3.62,3.61,-0.02,3.66
09/08/2026,3.64,3.63,-0.02,3.68
09/10/2026,3.64,3.63,-0.01,3.68
9/15/2026,3.64,3.63,-0.01,3.68
9/17/2026,3.64,3.63,0.01,3.68
9/22/2026,3.65,3.64,-0.01,3.70
9/24/2026,3.66,3.65,0.02,3.71
9/29/2026,3.69,3.68,0.06,3.74
10/01/2026,3.69,3.68,0.04,3.74
10/06/2026,3.68,3.67,0.03,3.74
10/08/2026,3.70,3.69,0.04,3.76
10/13/2026,3.69,3.68,0.03,3.74
10/15/2026,3.70,3.69,0.05,3.75
10/20/2026,3.70,3.69,0.03,3.76
10/22/2026,3.71,3.70,0.06,3.77
10/27/2026,3.72,3.71,0.05,3.78
10/29/2026,3.72,3.71,0.04,3.78
11/03/2026,3.71,3.70,0.04,3.78
11/05/2026,3.73,3.72,0.05,3.80
11/10/2026,3.72,3.71,0.04,3.78
11/12/2026,3.73,3.72,0.05,3.80
11/17/2026,3.73,3.72,0.06,3.80
11/19/2026,3.74,3.73,0.06,3.81
11/24/2026,3.74,3.73,0.06,3.82
11/27/2026,3.75,3.74,0.06,3.82
12/01/2026,3.75,3.74,0.05,3.82
12/03/2026,3.75,3.74,0.05,3.82
12/08/2026,3.77,3.76,0.06,3.85
12/10/2026,3.74,3.73,0.04,3.82
12/15/2026,3.77,3.76,0.05,3.86
12/17/2026,3.75,3.74,0.04,3.84
12/22/2026,3.79,3.78,0.05,3.87
12/24/2026,3.79,3.78,0.05,3.87
12/29/2026,3.81,3.80,0.06,3.90
12/31/2026,3.79,3.78,0.05,3.88
01/07/2027,3.79,3.78,0.06,3.89
1/14/2027,3.80,3.79,0.08,3.89
1/21/2027,3.81,3.80,0.07,3.91
1/28/2027,3.81,3.80,0.07,3.92
02/04/2027,3.83,3.82,0.07,3.93
02/11/2027,3.84,3.83,0.07,3.95
2/18/2027,3.85,3.84,0.08,3.97
2/25/2027,3.86,3.85,0.07,3.97
3/18/2027,3.77,3.76,0.07,3.85
4/15/2027,3.86,3.85,0.09,3.96
5/13/2027,3.84,3.83,0.09,3.95
06/10/2027,3.90,3.89,0.13,4.02
07/08/2027,3.93,3.92,0.12,4.07
08/05/2027,3.97,3.96,0.11,4.12
Source: Tullett Prebon,,,,
